iteration,w,b,cost
304,0.8282,0.282574,0.0306876
305,0.825123,0.279497,0.0306487
306,0.822217,0.276591,0.0306329
307,0.819472,0.273846,0.0306367
308,0.81688,0.271254,0.0306571
309,0.814432,0.268806,0.0306912
310,0.814432,0.261339,0.0306492
311,0.812327,0.259234,0.0307137
312,0.812327,0.252033,0.0307487
313,0.812327,0.245032,0.0308326
314,0.817171,0.254721,0.0305689
315,0.817171,0.247646,0.0306178
316,0.815371,0.245845,0.0307047
317,0.81367,0.244145,0.030794
318,0.818518,0.25384,0.0305288
319,0.818518,0.246789,0.0305788
320,0.818518,0.239934,0.0306751
321,0.816894,0.23831,0.03077
322,0.816894,0.23169,0.0309237
323,0.821892,0.241686,0.0305198
324,0.826717,0.251336,0.030282
325,0.824549,0.249167,0.0303567
326,0.824549,0.242246,0.0304168
327,0.824549,0.235517,0.0305212
328,0.829441,0.245301,0.0302241
329,0.827364,0.243224,0.030309
330,0.825404,0.241264,0.0303988
331,0.823552,0.239412,0.0304921
332,0.828396,0.249101,0.0302374
333,0.828396,0.242182,0.0302847
334,0.826436,0.240221,0.0303756
335,0.824584,0.238369,0.0304701
336,0.824584,0.231748,0.030598
337,0.824584,0.225311,0.0307644
338,0.823198,0.223925,0.0308676
339,0.82826,0.234049,0.0304065
340,0.82653,0.232318,0.0305077
341,0.82653,0.225865,0.0306646
342,0.82653,0.219591,0.030857
343,0.82653,0.213491,0.0310819
344,0.825418,0.212379,0.0311821
345,0.824368,0.21133,0.0312794
346,0.829597,0.221787,0.03065
347,0.82817,0.22036,0.0307574
348,0.826822,0.219012,0.0308633
349,0.831927,0.229223,0.0303625
350,0.836855,0.239078,0.0300378
351,0.836855,0.232437,0.0301207
352,0.83493,0.230513,0.0302231
353,0.83493,0.22411,0.0303633
354,0.83329,0.22247,0.0304734
355,0.83329,0.21629,0.0306627
356,0.83329,0.210282,0.0308834
357,0.83208,0.209071,0.030991
358,0.830937,0.207928,0.0310958
359,0.830937,0.202153,0.0313624
360,0.830017,0.201233,0.0314569
361,0.829149,0.200365,0.0315481
362,0.82833,0.199545,0.0316359
363,0.827555,0.198771,0.0317202
364,0.832937,0.209534,0.0309304
365,0.831757,0.208354,0.0310369
366,0.830643,0.20724,0.0311406
367,0.835885,0.217724,0.0305028
368,0.840945,0.227845,0.0300543
369,0.840945,0.221516,0.0301905
370,0.845917,0.23146,0.0298312
371,0.843768,0.229311,0.0299315
372,0.843768,0.222941,0.0300503
373,0.848701,0.232807,0.0297306
374,0.853463,0.242331,0.0295701
375,0.850802,0.23967,0.0296341
376,0.850802,0.233012,0.0296668
377,0.850802,0.22654,0.0297412
378,0.848653,0.224391,0.0298477
379,0.846624,0.222362,0.0299585
380,0.846624,0.216185,0.0301072
381,0.851631,0.226199,0.0297195
382,0.851631,0.219916,0.0298314
383,0.849644,0.217929,0.0299477
384,0.847767,0.216052,0.0300663
385,0.847767,0.21005,0.0302447
386,0.847767,0.204216,0.0304528
387,0.846323,0.202772,0.0305754
388,0.851518,0.213162,0.0299999
389,0.851518,0.207241,0.0301817
390,0.849886,0.205609,0.0303078
391,0.848345,0.204067,0.0304327
392,0.853508,0.214394,0.0298917
393,0.851622,0.212508,0.0300143
394,0.856645,0.222555,0.029615
395,0.861494,0.232252,0.0293832
396,0.866175,0.241614,0.0293025
397,0.870693,0.25065,0.029358
398,0.867322,0.247279,0.0293466
399,0.864139,0.244096,0.0293611
400,0.864139,0.237315,0.0293197
401,0.86132,0.234497,0.0293816
402,0.86132,0.227983,0.0294126
403,0.85884,0.225503,0.0295073
404,0.85884,0.219239,0.0296004
405,0.86372,0.228998,0.0293423
406,0.861144,0.226423,0.0294313
407,0.858712,0.22399,0.02953
408,0.863526,0.23362,0.0293307
409,0.863526,0.22713,0.0293601
410,0.868264,0.236605,0.0292323
411,0.868264,0.230033,0.0292271
412,0.865533,0.227302,0.0293063
413,0.862955,0.224724,0.0293977
